,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls▼,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
87,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,24,1994,24,13,1326,3,1,0,0,4,1,0.20,0.07,0.27,0.20,0.27,2.8,2.8,0.7,0.19,0.05,0.24,0.19,0.24,Matches
88,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,24,1994,23,16,1444,3,3,0,0,0,0,0.19,0.19,0.37,0.19,0.37,2.6,2.6,3.3,0.16,0.20,0.37,0.16,0.37,Matches
89,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,23,23,2015,3,1,0,0,3,0,0.13,0.04,0.18,0.13,0.18,1.1,1.1,1.2,0.05,0.05,0.10,0.05,0.10,Matches
90,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,28,28,2321,3,0,0,0,0,0,0.12,0.00,0.12,0.12,0.12,1.8,1.8,1.0,0.07,0.04,0.11,0.07,0.11,Matches
91,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,MF,West Ham,29,1989,15,9,827,3,1,0,0,2,0,0.33,0.11,0.44,0.33,0.44,1.5,1.5,2.5,0.16,0.27,0.43,0.16,0.43,Matches
92,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,26,1992,29,28,2546,3,3,0,0,4,0,0.11,0.11,0.21,0.11,0.21,4.0,4.0,2.3,0.14,0.08,0.22,0.14,0.22,Matches
93,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,23,23,2014,2,1,0,0,1,0,0.09,0.04,0.13,0.09,0.13,2.3,2.3,0.6,0.10,0.03,0.13,0.10,0.13,Matches
94,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,29,28,2549,2,12,0,0,4,0,0.07,0.42,0.49,0.07,0.49,2.2,2.2,8.6,0.08,0.30,0.38,0.08,0.38,Matches
95,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,25,1994,28,28,2370,2,1,0,0,5,0,0.08,0.04,0.11,0.08,0.11,5.2,5.2,0.8,0.20,0.03,0.23,0.20,0.23,Matches
96,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,29,1990,15,10,1030,2,2,0,0,1,0,0.17,0.17,0.35,0.17,0.35,4.7,4.7,1.8,0.41,0.16,0.57,0.41,0.57,Matches
97,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,27,27,2419,2,3,0,0,0,0,0.07,0.11,0.19,0.07,0.19,2.3,2.3,4.5,0.09,0.17,0.25,0.09,0.25,Matches
98,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,28,28,2520,2,3,0,0,6,0,0.07,0.11,0.18,0.07,0.18,0.5,0.5,1.8,0.02,0.07,0.09,0.02,0.09,Matches
99,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,5,5,415,2,0,0,0,1,0,0.43,0.00,0.43,0.43,0.43,1.0,1.0,0.6,0.23,0.12,0.35,0.23,0.35,Matches
100,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,23,23,2059,2,3,0,0,2,0,0.09,0.13,0.22,0.09,0.22,0.8,0.8,2.9,0.03,0.13,0.16,0.03,0.16,Matches
101,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,14,14,1186,2,0,0,0,3,0,0.15,0.00,0.15,0.15,0.15,1.2,1.2,0.0,0.09,0.00,0.10,0.09,0.10,Matches
102,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,17,9,833,2,0,0,0,0,0,0.22,0.00,0.22,0.22,0.22,2.4,2.4,0.2,0.26,0.02,0.28,0.26,0.28,Matches
103,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,12,3,297,2,0,0,0,0,0,0.61,0.00,0.61,0.61,0.61,2.3,2.3,0.0,0.70,0.01,0.72,0.70,0.72,Matches
104,Leander Dendoncker\Leander-Dendoncker,be BEL,DFMF,Wolves,24,1995,29,26,2281,2,0,0,0,4,0,0.08,0.00,0.08,0.08,0.08,1.4,1.4,0.6,0.05,0.02,0.08,0.05,0.08,Matches
105,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,18,10,928,2,2,0,0,4,1,0.19,0.19,0.39,0.19,0.39,2.4,2.4,1.4,0.23,0.14,0.37,0.23,0.37,Matches
