,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG▼,npxG+xA,Matches
89,Remo Freuler\Remo-Freuler,ch SUI,MF,Atalanta,27,1992,20,17,1449,2,2,0,0,2,0,0.12,0.12,0.25,0.12,0.25,1.5,1.5,2.2,0.09,0.14,0.23,0.09,0.23,Matches
90,Marash Kumbulla\Marash-Kumbulla,al ALB,DF,Hellas Verona,19,2000,18,18,1456,1,0,0,0,6,1,0.06,0.00,0.06,0.06,0.06,1.5,1.5,0.0,0.09,0.00,0.09,0.09,0.09,Matches
91,Milan Badelj\Milan-Badelj,hr CRO,MF,Fiorentina,30,1989,19,17,1369,1,0,0,0,3,1,0.07,0.00,0.07,0.07,0.07,1.3,1.3,0.8,0.09,0.05,0.14,0.09,0.14,Matches
92,Suso\Suso,es ESP,FWMF,Milan,25,1993,16,15,1359,1,2,0,0,2,0,0.07,0.13,0.20,0.07,0.20,1.3,1.3,3.6,0.09,0.24,0.32,0.09,0.32,Matches
93,Antonino Barillà\Antonino-Barilla,it ITA,MF,Parma,31,1988,18,15,1239,1,0,0,0,5,0,0.07,0.00,0.07,0.07,0.07,1.3,1.3,0.8,0.09,0.06,0.15,0.09,0.15,Matches
94,Chris Smalling\Chris-Smalling,eng ENG,DF,Roma,29,1989,21,21,1890,2,1,0,0,1,0,0.10,0.05,0.14,0.10,0.14,1.7,1.7,0.8,0.08,0.04,0.12,0.08,0.12,Matches
95,Pedro Obiang\Pedro-Obiang,gq EQG,MF,Sassuolo,27,1992,21,17,1543,1,1,0,0,9,0,0.06,0.06,0.12,0.06,0.12,1.4,1.4,0.6,0.08,0.03,0.11,0.08,0.11,Matches
96,Manuel Locatelli\Manuel-Locatelli,it ITA,MF,Sassuolo,21,1998,20,19,1576,0,4,0,0,8,0,0.00,0.23,0.23,0.00,0.23,1.4,1.4,3.1,0.08,0.18,0.26,0.08,0.26,Matches
97,Ronaldo Vieira\Ronaldo-Vieira,gw GNB,MF,Sampdoria,21,1998,21,17,1502,0,1,0,0,8,1,0.00,0.06,0.06,0.00,0.06,1.3,1.3,1.0,0.08,0.06,0.14,0.08,0.14,Matches
98,Nicolò Barella\Nicolo-Barella,it ITA,MF,Inter,22,1997,20,16,1416,1,3,0,0,8,0,0.06,0.19,0.25,0.06,0.25,1.2,1.2,1.2,0.08,0.07,0.15,0.08,0.15,Matches
99,Darko Lazović\Darko-Lazovic,rs SRB,DF,Hellas Verona,28,1990,25,25,2197,1,4,0,0,4,0,0.04,0.16,0.20,0.04,0.20,1.7,1.7,5.5,0.07,0.23,0.30,0.07,0.29,Matches
100,Franck Kessié\Franck-Kessie,ci CIV,MF,Milan,22,1996,23,21,1845,1,1,1,1,3,0,0.05,0.05,0.10,0.00,0.05,2.3,1.5,1.6,0.11,0.08,0.19,0.07,0.15,Matches
101,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,31,1988,24,24,2114,2,2,0,0,4,0,0.09,0.09,0.17,0.09,0.17,1.5,1.5,1.2,0.07,0.05,0.12,0.07,0.12,Matches
102,Gianluca Mancini\Gianluca-Mancini,it ITA,DFMF,Roma,23,1996,23,22,1976,1,0,0,0,12,1,0.05,0.00,0.05,0.05,0.05,1.5,1.5,0.6,0.07,0.03,0.10,0.07,0.10,Matches
103,Albin Ekdal\Albin-Ekdal,se SWE,MF,Sampdoria,30,1989,23,18,1657,0,1,0,0,5,0,0.00,0.05,0.05,0.00,0.05,1.4,1.4,0.9,0.07,0.05,0.12,0.07,0.12,Matches
104,Kostas Manolas\Kostas-Manolas,gr GRE,DF,Napoli,28,1991,19,19,1684,3,0,0,0,2,0,0.16,0.00,0.16,0.16,0.16,1.3,1.3,0.1,0.07,0.00,0.07,0.07,0.07,Matches
